category,title,emoji,url
music,"Celtic Autumn Harvest","🍀",https://user.uploads.dev/file/729d51bd7f3d73e53f39e40abed63b46.mp3
music,"Retro Synthwave","🛼",https://user.uploads.dev/file/e376c269e716e1643f79a0f8e60953e1.mp3
music,"Soft Gentle Piano","🎹",https://user.uploads.dev/file/1e1da2252b897499207306428851ae22.mp3
music,"Cozy Quiet Tavern, Guitar","☕",https://user.uploads.dev/file/a478e09e8bd083f2f0f4926c11b26f74.mp3
music,"Immersive Epic Fantasy","⚔️",https://user.uploads.dev/file/6182d658570e7ed2f73279d3f9181ecb.mp3
music,"Soft Elegant Piano","🎹",https://user.uploads.dev/file/41715fa7a7d1073b1cee22434e8e737f.mp3
music,"Summer Vibes, River","🏞️",https://user.uploads.dev/file/ed7af5c07ce4377c20d07aeda39d968b.mp3
music,"Preparing for the Quest","📜",https://user.uploads.dev/file/9e07a06b6549837087c5e7b61a5f01fd.mp3
music,"Forest Adventure, Ambient","🌲",https://user.uploads.dev/file/b8b0cc48d8fb1e6ee1a314250d3e2307.mp3
music,"Rainy Day, Piano","☕️",https://user.uploads.dev/file/5eacd0122359eaa89d1b282d1e24bf59.mp3
music,"Morning Vibes, Lofi","🧘‍♀️",https://user.uploads.dev/file/abf990528e3427eebf79885a5fcbf32a.mp3
music,"80's Lofi Hiphop","🌃",https://user.uploads.dev/file/1979704506beb8cc5b8fd144c0d9ace7.mp3
music,"Epic Cinematic Awe","🍿",https://user.uploads.dev/file/24d46ec59d00c174a321b3b3a77f3c89.mp3
music,"Eastern Fantasy Vibes","⛩️",https://user.uploads.dev/file/fd7672362acd646710b111845b585f27.mp3
music,"Cozy Fairytail Fantasy","🧚‍♀️",https://user.uploads.dev/file/50a953934d550f9487c249a7b0b80bbd.mp3
music,"Ambient Tranquil Fantasy","🪷",https://user.uploads.dev/file/acfdbc7c843c29cf286caa3d244a3ee0.mp3
music,"Fantasy Exploration (Calm)","🗺️",https://user.uploads.dev/file/6252394fcf3c193823018f370d218fda.mp3
music,"Ambient Ethereal Vocals","🌫️",https://user.uploads.dev/file/31dc821b63f0db13a7b3ede3d891c5b2.mp3
music,"Ambient Hogwarts Vibe","🧹",https://user.uploads.dev/file/ab8afcfb0aa8883463fc7386efd87472.mp3
music,"Calm Dark Academia Piano","🤎",https://user.uploads.dev/file/ef26fe8e4895ebe4125b554b287e7e14.mp3
music,"Calming Japanese Instrumental","🎐",https://user.uploads.dev/file/214833b84e77432e311c2e47ac2ba440.mp3
music,"Celtic Harp","𝄞",https://user.uploads.dev/file/8ae7e6dec7ff288ff4f4d25b9911544c.mp3
music,"Cozy Hobbit Living Room","🧒",https://user.uploads.dev/file/469c4fd6a3e83465d6283e0483da5000.mp3
music,"Dark Academia Train Ride","🚂",https://user.uploads.dev/file/b91c4b0fd0016138e7c721062a284c43.mp3
music,"Gentle Fantasy Anime Vibe","👒",https://user.uploads.dev/file/1855082aa8fab9675e0341b39a424e3d.mp3
music,"Gentle Inspiring Piano","🍂",https://user.uploads.dev/file/3b940c4fa4201074a7b112495cf5a14b.mp3
music,"Japanese Instrumentals","🍵",https://user.uploads.dev/file/7c6df2b832f50bacf1777520acb1ded3.mp3
music,"Japanese Road Trip","🗼",https://user.uploads.dev/file/ee667bb34fa81e92339b0037dcc5ccc7.mp3
music,"Japanese Upbeat Wistful","🩹",https://user.uploads.dev/file/e2f34e6fb2c53c91d5ebef6183288d4d.mp3
music,"Kawaii Vocals","🧋",https://user.uploads.dev/file/4a376965fe387eea741349869e26cd96.mp3
music,"Medieval Folk","📜",https://user.uploads.dev/file/0486809b5b02408acb3d2ad36942fc1a.mp3
music,"Difficult Journey Orchestral","🏔️",https://user.uploads.dev/file/aac989d61ca39bd66553ddc13fd93ec8.mp3
music,"Relaxing Celtic","💚",https://user.uploads.dev/file/073662830cd824d640f28de796e9e465.mp3
music,"Relaxing Iconic Piano","🥇",https://user.uploads.dev/file/753e04549c0d30e10447b981afcfb0fd.mp3
music,"Soft Hymnal Instrumental","🎼",https://user.uploads.dev/file/a3378e7e12e1ce7cf3a464056e79ef86.mp3
music,"Scottish Highlands (Bagpipes)","🏴",https://user.uploads.dev/file/bbfda1aa43149980d104bbc84d9f4da6.mp3
music,"Serene Sci-Fi","🪐",https://user.uploads.dev/file/f463c6e7c8b6e6abae2acdf423a72f90.mp3
music,"Soft Sci-Fi","☄️",https://user.uploads.dev/file/5ca2c3e11243c1dec20b274ce6d8d2ec.mp3
music,"Soothing Elven Vocals","🧝‍♀️",https://user.uploads.dev/file/5d11408fd625df97743095488c2284a5.mp3
music,"Tokyo Vibes","🗼",https://user.uploads.dev/file/c8100c5ba725441c747a0483bbf3f3fe.mp3
music,"Very Gentle Ethereal","😌",https://user.uploads.dev/file/0bf90087944ff9b441089fc0d54ad03a.mp3
music,"Wistful Peaceful Forest","🍃",https://user.uploads.dev/file/2f3b33d14df71a83c371cc51441e9ac7.mp3
music,"Wistful Piano","🕊",https://user.uploads.dev/file/7f06357b5112c77e1139d38778dacb86.mp3
music,"Wistful Sci-Fi","🌌",https://user.uploads.dev/file/ca38400ca13388c03fb689b0ab528dbf.mp3
