category,title,emoji,bytes,bundled,local_path,source_url,used_in
"soundtrack-playlist","Celtic Autumn Harvest","🍀","30964485","false","media/music/001-celtic-autumn-harvest.mp3","https://user.uploads.dev/file/729d51bd7f3d73e53f39e40abed63b46.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Retro Synthwave","🛼","59499837","false","media/music/002-retro-synthwave.mp3","https://user.uploads.dev/file/e376c269e716e1643f79a0f8e60953e1.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Soft Gentle Piano","🎹","56319597","false","media/music/003-soft-gentle-piano.mp3","https://user.uploads.dev/file/1e1da2252b897499207306428851ae22.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Cozy Quiet Tavern, Guitar","☕","86103282","false","media/music/004-cozy-quiet-tavern-guitar.mp3","https://user.uploads.dev/file/a478e09e8bd083f2f0f4926c11b26f74.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Immersive Epic Fantasy","⚔️","37069146","false","media/music/005-immersive-epic-fantasy.mp3","https://user.uploads.dev/file/6182d658570e7ed2f73279d3f9181ecb.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Soft Elegant Piano","🎹","48036813","false","media/music/006-soft-elegant-piano.mp3","https://user.uploads.dev/file/41715fa7a7d1073b1cee22434e8e737f.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Summer Vibes, River","🏞️","86690096","false","media/music/007-summer-vibes-river.mp3","https://user.uploads.dev/file/ed7af5c07ce4377c20d07aeda39d968b.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Preparing for the Quest","📜","86443709","false","media/music/008-preparing-for-the-quest.mp3","https://user.uploads.dev/file/9e07a06b6549837087c5e7b61a5f01fd.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Forest Adventure, Ambient","🌲","88505084","false","media/music/009-forest-adventure-ambient.mp3","https://user.uploads.dev/file/b8b0cc48d8fb1e6ee1a314250d3e2307.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Rainy Day, Piano","☕️","86461890","false","media/music/010-rainy-day-piano.mp3","https://user.uploads.dev/file/5eacd0122359eaa89d1b282d1e24bf59.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Morning Vibes, Lofi","🧘‍♀️","86429916","false","media/music/011-morning-vibes-lofi.mp3","https://user.uploads.dev/file/abf990528e3427eebf79885a5fcbf32a.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","80's Lofi Hiphop","🌃","131205257","false","media/music/012-80s-lofi-hiphop.mp3","https://user.uploads.dev/file/1979704506beb8cc5b8fd144c0d9ace7.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Epic Cinematic Awe","🍿","80253315","false","media/music/013-epic-cinematic-awe.mp3","https://user.uploads.dev/file/24d46ec59d00c174a321b3b3a77f3c89.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Eastern Fantasy Vibes","⛩️","89808813","false","media/music/014-eastern-fantasy-vibes.mp3","https://user.uploads.dev/file/fd7672362acd646710b111845b585f27.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Cozy Fairytail Fantasy","🧚‍♀️","87791000","false","media/music/015-cozy-fairytail-fantasy.mp3","https://user.uploads.dev/file/50a953934d550f9487c249a7b0b80bbd.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Ambient Tranquil Fantasy","🪷","86402958","false","media/music/016-ambient-tranquil-fantasy.mp3","https://user.uploads.dev/file/acfdbc7c843c29cf286caa3d244a3ee0.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Fantasy Exploration (Calm)","🗺️","164384517","false","media/music/017-fantasy-exploration-calm.mp3","https://user.uploads.dev/file/6252394fcf3c193823018f370d218fda.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Ambient Ethereal Vocals","🌫️","182441781","false","media/music/018-ambient-ethereal-vocals.mp3","https://user.uploads.dev/file/31dc821b63f0db13a7b3ede3d891c5b2.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Ambient Hogwarts Vibe","🧹","53027133","false","media/music/019-ambient-hogwarts-vibe.mp3","https://user.uploads.dev/file/ab8afcfb0aa8883463fc7386efd87472.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Calm Dark Academia Piano","🤎","54636285","false","media/music/020-calm-dark-academia-piano.mp3","https://user.uploads.dev/file/ef26fe8e4895ebe4125b554b287e7e14.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Calming Japanese Instrumental","🎐","56671941","false","media/music/021-calming-japanese-instrumental.mp3","https://user.uploads.dev/file/214833b84e77432e311c2e47ac2ba440.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Celtic Harp","𝄞","47404115","false","media/music/022-celtic-harp.mp3","https://user.uploads.dev/file/8ae7e6dec7ff288ff4f4d25b9911544c.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Cozy Hobbit Living Room","🧒","56935067","false","media/music/023-cozy-hobbit-living-room.mp3","https://user.uploads.dev/file/469c4fd6a3e83465d6283e0483da5000.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Dark Academia Train Ride","🚂","107591733","false","media/music/024-dark-academia-train-ride.mp3","https://user.uploads.dev/file/b91c4b0fd0016138e7c721062a284c43.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Gentle Fantasy Anime Vibe","👒","33961533","false","media/music/025-gentle-fantasy-anime-vibe.mp3","https://user.uploads.dev/file/1855082aa8fab9675e0341b39a424e3d.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Gentle Inspiring Piano","🍂","44814021","false","media/music/026-gentle-inspiring-piano.mp3","https://user.uploads.dev/file/3b940c4fa4201074a7b112495cf5a14b.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Japanese Instrumentals","🍵","26997189","false","media/music/027-japanese-instrumentals.mp3","https://user.uploads.dev/file/7c6df2b832f50bacf1777520acb1ded3.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Japanese Road Trip","🗼","92784525","false","media/music/028-japanese-road-trip.mp3","https://user.uploads.dev/file/ee667bb34fa81e92339b0037dcc5ccc7.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Japanese Upbeat Wistful","🩹","43976997","false","media/music/029-japanese-upbeat-wistful.mp3","https://user.uploads.dev/file/e2f34e6fb2c53c91d5ebef6183288d4d.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Kawaii Vocals","🧋","64682373","false","media/music/030-kawaii-vocals.mp3","https://user.uploads.dev/file/4a376965fe387eea741349869e26cd96.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Medieval Folk","📜","30208363","false","media/music/031-medieval-folk.mp3","https://user.uploads.dev/file/0486809b5b02408acb3d2ad36942fc1a.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Difficult Journey Orchestral","🏔️","44442601","false","media/music/032-difficult-journey-orchestral.mp3","https://user.uploads.dev/file/aac989d61ca39bd66553ddc13fd93ec8.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Relaxing Celtic","💚","51920589","false","media/music/033-relaxing-celtic.mp3","https://user.uploads.dev/file/073662830cd824d640f28de796e9e465.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Relaxing Iconic Piano","🥇","18511893","false","media/music/034-relaxing-iconic-piano.mp3","https://user.uploads.dev/file/753e04549c0d30e10447b981afcfb0fd.mp3","index.html: window.defaultMusicTracks"
"soundtrack-playlist","Soft Hymnal Instrumental","🎼","66127131","false","media/music/035-soft-hymnal-instrumental.mp3","https://user.uploads.dev/file/a3378e7e12e1ce7cf3a464056e79ef86.mp3","index.html: window.defaultMusicTracks"
